EB_scientific_name,EB_reporting_rate,BT_replacement_name,TAX,SEN,EXO,VAG,EB_replacement_name,BT_scientific_name,BT_reporting_rate
,,,TRUE,,,,,Acanthis cabaret,0.033203558
Acanthis flammea,0.028680733,,,,,,,Acanthis flammea,5.22E-04
,,,TRUE,,,,,Acanthis hornemanni,1.58E-05
,,,TRUE,TRUE,,,Astur gentilis,Accipiter gentilis,0.003196911
Accipiter nisus,0.082904697,,,,,,,Accipiter nisus,0.078023613
Acrocephalus agricola,5.83E-06,,,,,TRUE,,,
Acrocephalus arundinaceus,4.20E-04,,,,,,,Acrocephalus arundinaceus,1.90E-04
Acrocephalus dumetorum,1.52E-04,,,,,,,Acrocephalus dumetorum,1.27E-04
,,,,,,TRUE,,Acrocephalus paludicola,1.58E-05
Acrocephalus palustris,8.75E-05,,,,,,,Acrocephalus palustris,1.11E-04
Acrocephalus schoenobaenus,0.055192041,,,,,,,Acrocephalus schoenobaenus,0.067150951
Acrocephalus scirpaceus,0.060242369,,,,,,,Acrocephalus scirpaceus,0.06438135
Actitis hypoleucos,0.029893745,,,,,,,Actitis hypoleucos,0.033377647
Actitis macularius,8.75E-05,,,,,TRUE,,,
Aegithalos caudatus,0.251303405,,,,,,,Aegithalos caudatus,0.255088152
Aix galericulata,0.019314882,,,,,,,Aix galericulata,0.011363277
,,,,,TRUE,,,Aix sponsa,1.74E-04
Alauda arvensis,0.162374471,,,,,,,Alauda arvensis,0.185215079
Alca torda,0.0227673,,,,,,,Alca torda,0.016443516
Alcedo atthis,0.041003301,,,,,,,Alcedo atthis,0.053793562
Alectoris rufa,0.034063473,,,,,,,Alectoris rufa,0.050153515
Alle alle,0.001032226,,,,,,,Alle alle,5.38E-04
Alopochen aegyptiaca,0.069264145,,,,,,,Alopochen aegyptiaca,0.05892128
Anarhynchus alexandrinus,7.00E-05,Charadrius alexandrinus,TRUE,,,,,,
Anas acuta,0.026890374,,,,,,,Anas acuta,0.023248821
,,,,,TRUE,,,Anas bahamensis,1.58E-05
,,,TRUE,,,,,Anas carolinensis,1.74E-04
Anas crecca,0.162421125,,,,,,,Anas crecca,0.167062324
,,,,,TRUE,,,Anas flavirostris,1.58E-05
Anas platyrhynchos,0.443758237,,,,,,,Anas platyrhynchos,0.441885861
Anser albifrons,0.00534775,,,,,,,Anser albifrons,0.004019878
Anser anser,0.200700981,,,,,,,Anser anser,0.203146267
Anser brachyrhynchus,0.026651271,,,,,,,Anser brachyrhynchus,0.027205394
Anser caerulescens,9.33E-05,,,,,,,Anser caerulescens,0.001345235
,,,,,TRUE,,,Anser canagicus,3.17E-05
,,,,,TRUE,,,Anser cygnoides,4.11E-04
,,,,,TRUE,TRUE,,Anser erythropus,1.58E-05
Anser fabalis,3.15E-04,,,,,,,Anser fabalis,1.58E-04
,,,,,TRUE,,,Anser indicus,9.81E-04
Anser rossii,1.17E-05,,,,,,,Anser rossii,2.85E-04
Anser serrirostris,7.81E-04,,,,,,,Anser serrirostris,4.91E-04
Anthus campestris,5.25E-05,,,,,TRUE,,,
Anthus cervinus,2.33E-05,,,,,,,Anthus cervinus,3.17E-05
Anthus hodgsoni,1.63E-04,,,,,TRUE,,,
Anthus petrosus,0.031141747,,,,,,,Anthus petrosus,0.023581173
Anthus pratensis,0.163814922,,,,,,,Anthus pratensis,0.158057165
Anthus richardi,1.17E-04,,,,,,,Anthus richardi,6.33E-05
Anthus rubescens,4.67E-05,,,,,,,Anthus rubescens,3.17E-05
Anthus spinoletta,0.00280509,,,,,,,Anthus spinoletta,0.001914981
Anthus trivialis,0.007073959,,,,,,,Anthus trivialis,0.006805305
Apus affinis,5.83E-06,,,,,TRUE,,,
Apus apus,0.098114,,,,,,,Apus apus,0.090273162
Apus pacificus,3.50E-05,,,,,TRUE,,,
,,,,TRUE,,,,Aquila chrysaetos,0.00110784
,,,,,TRUE,,,Ara macao,1.58E-05
Ardea alba,0.030016212,,,,,,,Ardea alba,0.025844333
Ardea cinerea,0.248410838,,,,,,,Ardea cinerea,0.244896021
Ardea ibis,0.006199191,Bubulcus ibis,TRUE,,,,,,
Ardea purpurea,1.81E-04,,,,,,,Ardea purpurea,2.06E-04
Ardenna gravis,6.41E-05,,,,,,,Ardenna gravis,9.50E-05
Ardenna grisea,0.001463779,,,,,,,Ardenna grisea,0.00110784
Ardeola ralloides,2.33E-05,,,,,TRUE,,,
