Scientific Name,Common Name,eBird Reporting Rate,eBird Preference Ratio,BirdTrack Reporting Rate,BirdTrack Preference Ratio
Acanthis cabaret,NA,Not in dataset,Not in dataset,3.320%,1.010 [0.803; 1.217]
Acanthis flammea,Redpoll,2.868%,1.313 [1.234; 1.395],0.052%,2.223 [0.000; 4.721]
Acanthis hornemanni,NA,Not in dataset,Not in dataset,0.001%,No estimate
Accipiter nisus,Eurasian Sparrowhawk,8.290%,1.425 [1.375; 1.475],7.802%,1.032 [0.904; 1.172]
Acrocephalus agricola,Paddyfield Warbler,0.000%,No estimate,Not in dataset,Not in dataset
Acrocephalus arundinaceus,Great Reed Warbler,0.042%,No estimate,0.019%,3.920 [1.234; 8.338]
Acrocephalus dumetorum,Blyth's Reed Warbler,0.015%,No estimate,0.012%,4.600 [0.000; 23.99]
Acrocephalus paludicola,Aquatic Warbler,Not in dataset,Not in dataset,0.001%,No estimate
Acrocephalus palustris,Marsh Warbler,0.008%,No estimate,0.011%,No estimate
Acrocephalus schoenobaenus,Sedge Warbler,5.519%,0.785 [0.747; 0.824],6.715%,0.880 [0.733; 1.027]
Acrocephalus scirpaceus,Common Reed Warbler,6.024%,0.545 [0.515; 0.575],6.438%,0.704 [0.568; 0.847]
Actitis hypoleucos,Common Sandpiper,2.989%,0.996 [0.934; 1.064],3.337%,1.212 [0.988; 1.458]
Actitis macularius,Spotted Sandpiper,0.008%,No estimate,Not in dataset,Not in dataset
Aegithalos caudatus,Long-tailed Tit,25.13%,0.851 [0.832; 0.869],25.50%,0.644 [0.590; 0.706]
Aix galericulata,Mandarin Duck,1.931%,1.872 [1.744; 2.030],1.136%,1.346 [1.020; 1.729]
Aix sponsa,Wood Duck,Not in dataset,Not in dataset,0.017%,2.322 [0.000; 8.818]
Alauda arvensis,Eurasian Skylark,16.23%,1.001 [0.974; 1.030],18.52%,0.999 [0.921; 1.087]
Alca torda,Razorbill,2.276%,0.478 [0.435; 0.526],1.644%,0.357 [0.206; 0.534]
Alcedo atthis,Common Kingfisher,4.100%,0.919 [0.865; 0.977],5.379%,1.225 [1.041; 1.410]
Alectoris rufa,Red-legged Partridge,3.406%,1.969 [1.868; 2.085],5.015%,1.747 [1.513; 1.992]
Alle alle,Dovekie,0.103%,1.295 [0.892; 1.950],0.053%,1.771 [0.926; 3.607]
Alopochen aegyptiaca,Egyptian Goose,6.926%,1.405 [1.350; 1.462],5.892%,0.772 [0.619; 0.929]
Anarhynchus alexandrinus,Kentish Plover,0.007%,32.50 [12.00; Inf],0.004%,No estimate
Anas acuta,Northern Pintail,2.689%,0.575 [0.528; 0.622],2.324%,0.942 [0.670; 1.256]
Anas bahamensis,White-cheeked Pintail,Not in dataset,Not in dataset,0.001%,No estimate
Anas carolinensis,NA,Not in dataset,Not in dataset,0.017%,5.049 [1.067; 12.03]
Anas crecca,Green-winged Teal,16.24%,0.759 [0.738; 0.783],16.70%,0.478 [0.409; 0.541]
Anas flavirostris,Yellow-billed Teal,Not in dataset,Not in dataset,0.001%,No estimate
Anas platyrhynchos,Mallard,44.37%,0.865 [0.852; 0.876],44.18%,0.737 [0.693; 0.785]
Anser albifrons,Greater White-fronted Goose,0.534%,1.336 [1.148; 1.554],0.402%,1.846 [1.132; 2.643]
